City_ID,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Rain inches last 3 hours,Snow inches last 3 hours
408,408,Boa Esperanca,-21.09,-45.57,70.3,87,86,7.05,BR,2020-02-23 21:47:59,overcast clouds,0.0,0.0
409,409,Posse,-14.09,-46.37,78.93,84,96,2.91,BR,2020-02-23 21:47:59,light rain,1.0,0.0
410,410,Blythe,33.61,-114.6,72.0,30,1,4.7,US,2020-02-23 21:48:00,clear sky,0.0,0.0
411,411,Nogliki,51.83,143.17,-5.19,96,23,7.45,RU,2020-02-23 21:48:00,few clouds,0.0,0.0
412,412,Totness,5.88,-56.32,80.08,82,48,17.31,SR,2020-02-23 21:48:00,scattered clouds,0.0,0.0
413,413,Umm Kaddadah,13.6,26.69,68.67,18,0,12.15,SD,2020-02-23 21:48:00,clear sky,0.0,0.0
414,414,Vermillion,42.78,-96.93,51.8,73,1,11.41,US,2020-02-23 21:48:01,clear sky,0.0,0.0
415,415,Alta Floresta,-9.88,-56.09,73.94,97,100,5.55,BR,2020-02-23 21:45:49,light rain,1.06,0.0
416,416,Iwanai,42.97,140.51,27.23,77,100,12.08,JP,2020-02-23 21:48:01,overcast clouds,0.0,0.0
417,417,Tigil,57.8,158.67,-2.38,75,91,5.19,RU,2020-02-23 21:48:01,overcast clouds,0.0,0.0
418,418,San Jose,37.34,-121.89,64.0,58,75,4.7,US,2020-02-23 21:45:59,broken clouds,0.0,0.0
419,419,Lata,40.16,-8.33,62.01,76,0,1.12,PT,2020-02-23 21:48:02,clear sky,0.0,0.0
420,420,Nemuro,43.32,145.57,27.66,77,35,19.71,JP,2020-02-23 21:48:02,scattered clouds,0.0,0.0
421,421,Kaura Namoda,12.59,6.58,76.71,13,0,12.44,NG,2020-02-23 21:48:02,clear sky,0.0,0.0
422,422,Casambalangan,18.38,122.13,75.54,81,75,15.84,PH,2020-02-23 21:48:03,light rain,2.13,0.0
423,423,Las Palmas,28.42,-14.01,71.6,60,100,12.75,ES,2020-02-23 21:48:03,haze,0.0,0.0
424,424,Langsa,4.47,97.97,72.82,90,4,2.75,ID,2020-02-23 21:48:03,clear sky,0.0,0.0
425,425,Ambon,-3.7,128.18,80.82,80,100,9.48,ID,2020-02-23 21:48:03,light rain,0.44,0.0
426,426,Bonavista,48.65,-53.11,30.99,82,27,11.01,CA,2020-02-23 21:48:03,scattered clouds,0.0,0.0
427,427,Smithers,54.78,-127.17,35.6,43,75,2.24,CA,2020-02-23 21:48:04,broken clouds,0.0,0.0
428,428,Kuching,1.55,110.33,77.0,100,40,2.24,MY,2020-02-23 21:48:04,scattered clouds,0.0,0.0
429,429,Rabo De Peixe,37.8,-25.58,57.2,82,20,3.36,PT,2020-02-23 21:48:04,few clouds,0.0,0.0
430,430,Komsomolskiy,40.43,71.72,50.0,81,75,6.93,UZ,2020-02-23 21:48:04,mist,0.0,0.0
431,431,Berlevag,70.86,29.09,30.2,92,75,11.41,NO,2020-02-23 21:48:04,broken clouds,0.0,0.0
432,432,Boyolangu,-8.12,111.89,73.22,95,50,3.06,ID,2020-02-23 21:48:05,scattered clouds,0.0,0.0
433,433,General Pico,-35.66,-63.76,89.85,19,0,14.76,AR,2020-02-23 21:48:05,clear sky,0.0,0.0
434,434,Botwood,49.15,-55.35,33.01,84,20,14.99,CA,2020-02-23 21:48:05,few clouds,0.0,0.0
435,435,Lagoa,39.05,-27.98,60.49,79,4,12.68,PT,2020-02-23 21:48:05,clear sky,0.0,0.0
436,436,Belomorsk,64.52,34.77,31.5,93,100,15.17,RU,2020-02-23 21:48:05,light snow,0.0,0.44
437,437,Margate,51.38,1.39,48.0,81,100,2.24,GB,2020-02-23 21:48:06,overcast clouds,0.0,0.0
438,438,Port Blair,11.67,92.75,75.2,88,40,4.7,IN,2020-02-23 21:44:07,mist,0.0,0.0
439,439,Brooks,50.58,-111.89,32.0,84,100,10.0,CA,2020-02-23 21:48:06,light snow,0.0,0.31
440,440,Koindu,8.44,-10.33,82.87,45,28,2.89,GN,2020-02-23 21:48:06,scattered clouds,0.0,0.0
